Samples per sec. = 5/1
1040WQ #1


°C
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.49E+02
9.48E+02
9.45E+02
9.41E+02
9.38E+02
9.34E+02
9.29E+02
9.21E+02
9.13E+02
9.06E+02
8.27E+02
5.45E+02
4.42E+02
3.66E+02
3.11E+02
2.74E+02
2.10E+02
1.28E+02
1.16E+02
1.15E+02
1.14E+02
1.28E+02
1.21E+02
1.10E+02
9.23E+01
6.89E+01
6.23E+01
5.20E+01
4.60E+01
4.06E+01
3.65E+01
3.44E+01
3.14E+01
2.98E+01
2.81E+01
2.74E+01
2.68E+01
2.63E+01
2.54E+01
2.45E+01
2.50E+01
2.47E+01
2.48E+01
2.48E+01
2.42E+01
2.36E+01
2.44E+01
2.41E+01
2.42E+01
2.42E+01
2.33E+01
2.39E+01
2.36E+01
2.35E+01
2.35E+01
2.39E+01
2.36E+01
2.36E+01
2.38E+01
2.38E+01
2.36E+01
2.36E+01
2.36E+01
2.35E+01
2.39E+01
