Samples per sec. = 5/1
1040OQ #1


°C
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.61E+02
9.59E+02
9.58E+02
9.56E+02
9.54E+02
9.52E+02
9.49E+02
9.45E+02
8.65E+02
9.31E+02
9.26E+02
9.21E+02
9.19E+02
8.44E+02
7.27E+02
6.20E+02
6.00E+02
5.82E+02
5.54E+02
5.45E+02
5.54E+02
5.31E+02
5.07E+02
4.63E+02
4.55E+02
4.25E+02
3.95E+02
3.81E+02
3.64E+02
3.45E+02
3.31E+02
3.22E+02
3.13E+02
2.97E+02
2.80E+02
2.74E+02
2.71E+02
2.58E+02
2.54E+02
2.53E+02
2.58E+02
2.55E+02
2.48E+02
2.38E+02
2.39E+02
2.38E+02
2.32E+02
2.26E+02
2.23E+02
2.19E+02
2.10E+02
2.00E+02
2.02E+02
1.94E+02
1.87E+02
1.83E+02
1.80E+02
1.73E+02
1.63E+02
1.63E+02
1.57E+02
1.51E+02
1.47E+02
1.45E+02
1.40E+02
1.32E+02
1.32E+02
1.28E+02
1.23E+02
1.20E+02
1.18E+02
1.14E+02
1.08E+02
1.08E+02
1.04E+02
1.00E+02
9.90E+01
9.66E+01
9.22E+01
9.13E+01
8.92E+01
8.57E+01
8.39E+01
8.26E+01
7.99E+01
7.72E+01
7.73E+01
7.54E+01
7.31E+01
7.19E+01
7.13E+01
6.87E+01
6.66E+01
6.65E+01
6.50E+01
6.35E+01
6.27E+01
6.20E+01
6.08E+01
5.87E+01
5.84E+01
5.78E+01
5.66E+01
5.55E+01
5.50E+01
5.40E+01
5.22E+01
5.14E+01
5.17E+01
5.07E+01
5.01E+01
4.93E+01
4.86E+01
4.72E+01
4.69E+01
4.68E+01
4.59E+01
4.54E+01
4.53E+01
4.47E+01
4.38E+01
4.33E+01
4.30E+01
4.27E+01
4.20E+01
4.17E+01
4.12E+01
4.06E+01
4.02E+01
3.99E+01
3.99E+01
3.93E+01
3.91E+01
3.87E+01
3.85E+01
3.76E+01
3.76E+01
3.74E+01
3.73E+01
3.67E+01
3.68E+01
3.62E+01
3.59E+01
