Temp	Dilation
343.6	0.0251
344.56	0.0252
345.66	0.02529
346.61	0.02537
347.66	0.02546
348.6	0.02554
349.68	0.02562
350.61	0.02574
351.73	0.02581
352.77	0.02591
353.67	0.02599
354.75	0.0261
355.84	0.02618
356.67	0.02627
357.7	0.02635
358.62	0.02642
359.65	0.02652
360.63	0.02662
361.61	0.0267
362.57	0.02677
363.66	0.02686
364.59	0.02695
365.6	0.02704
366.66	0.02714
367.57	0.02722
368.57	0.0273
369.68	0.0274
370.65	0.02748
371.63	0.02757
372.67	0.02767
373.58	0.02773
374.44	0.02783
375.66	0.02793
376.66	0.02802
377.63	0.02813
378.57	0.02821
379.59	0.02827
380.56	0.02838
381.64	0.02846
382.64	0.02854
383.59	0.02864
384.56	0.02873
385.64	0.02882
386.66	0.0289
387.57	0.029
388.66	0.02908
389.7	0.02918
390.6	0.02924
391.58	0.02933
392.63	0.02941
393.63	0.02951
394.53	0.02962
395.59	0.02969
396.63	0.02979
397.58	0.02988
398.55	0.02995
399.62	0.03005
400.54	0.03014
401.52	0.03023
402.59	0.03032
403.67	0.03041
404.62	0.03048
405.64	0.03059
406.68	0.03068
407.66	0.03077
408.58	0.03086
409.68	0.03092
410.6	0.03102
411.61	0.03111
412.59	0.03121
413.69	0.03129
414.7	0.03135
415.63	0.03145
416.61	0.03153
417.65	0.03161
418.55	0.03168
419.56	0.03177
420.57	0.03187
421.58	0.03196
422.51	0.03204
423.59	0.03213
424.51	0.03221
425.6	0.0323
426.47	0.03239
427.55	0.03248
428.64	0.03259
429.56	0.03268
430.61	0.03276
431.67	0.03286
432.69	0.03294
433.68	0.03304
434.59	0.03314
435.77	0.03323
436.66	0.03331
437.49	0.03338
438.61	0.03349
439.65	0.03357
440.66	0.03366
441.49	0.03374
442.59	0.03385
443.61	0.03395
444.67	0.034
445.65	0.03409
446.61	0.03417
447.59	0.03427
448.55	0.03434
449.76	0.03446
450.55	0.03455
451.5	0.03464
452.67	0.03475
453.6	0.03485
454.57	0.03494
455.56	0.03507
456.64	0.03515
457.66	0.03524
458.67	0.03531
459.61	0.03539
460.69	0.03551
461.58	0.03557
462.64	0.03567
463.69	0.03577
464.73	0.03585
465.71	0.03597
466.7	0.03603
467.74	0.03612
468.74	0.03623
469.69	0.03631
470.7	0.03641
471.64	0.03648
472.67	0.03656
473.65	0.03667
474.75	0.03676
475.61	0.03684
476.52	0.03694
477.66	0.03705
478.75	0.03715
479.62	0.03722
480.67	0.03728
481.8	0.0374
482.71	0.0375
483.74	0.03759
484.78	0.03767
485.71	0.03775
486.69	0.03784
487.79	0.03794
488.87	0.03804
489.71	0.03812
490.71	0.03821
491.69	0.0383
492.7	0.03837
493.74	0.03849
494.58	0.03857
495.6	0.03865
496.77	0.03876
497.69	0.03884
498.63	0.03893
499.74	0.03905
500.65	0.03912
501.65	0.03921
502.63	0.0393
503.64	0.0394
504.67	0.03948
505.71	0.03957
506.67	0.03966
507.8	0.03975
508.72	0.03984
509.67	0.03995
510.51	0.04001
511.67	0.04012
512.7	0.04021
513.65	0.0403
514.67	0.04041
515.7	0.04049
516.67	0.04058
517.57	0.04066
518.65	0.04076
519.62	0.04086
520.71	0.04094
521.63	0.04103
522.63	0.0411
523.56	0.04122
524.47	0.0413
525.63	0.0414
526.73	0.04149
527.71	0.04157
528.71	0.04169
529.73	0.04175
530.68	0.04186
531.71	0.04196
532.69	0.04204
533.75	0.04214
534.66	0.04222
535.64	0.04231
536.69	0.04243
537.72	0.0425
538.65	0.0426
539.66	0.04269
540.74	0.04277
541.64	0.04286
542.62	0.04296
543.66	0.04304
544.64	0.04316
545.57	0.04323
546.63	0.04332
547.61	0.04339
548.63	0.04351
549.64	0.04361
550.75	0.0437
551.68	0.04379
552.61	0.04388
553.65	0.04396
554.65	0.04407
555.63	0.04417
556.83	0.04427
557.73	0.04435
558.65	0.04442
559.68	0.04452
560.69	0.04461
561.58	0.04471
562.52	0.0448
563.67	0.04488
564.6	0.04495
565.56	0.04506
566.59	0.04515
567.73	0.04526
568.69	0.04535
569.76	0.04543
570.64	0.04551
571.66	0.04563
572.71	0.0457
573.73	0.04579
574.67	0.04587
575.66	0.04598
576.6	0.04607
577.61	0.04617
578.67	0.04628
579.65	0.04634
580.49	0.04642
581.61	0.04653
582.71	0.0466
583.58	0.0467
584.64	0.04679
585.7	0.04688
586.59	0.04697
587.61	0.04706
588.66	0.04717
589.71	0.04727
590.64	0.04736
591.67	0.04744
592.69	0.04755
593.67	0.04761
594.65	0.0477
595.65	0.04781
596.65	0.04788
597.7	0.04798
598.54	0.04808
599.58	0.04816
600.71	0.04825
601.63	0.04832
602.53	0.04841
603.59	0.04854
604.58	0.04861
605.54	0.04868
606.65	0.04879
607.64	0.04888
608.53	0.04895
609.55	0.04905
610.52	0.04914
611.52	0.04922
612.57	0.04931
613.53	0.0494
614.48	0.04948
615.65	0.0496
616.57	0.04967
617.56	0.04977
618.63	0.04986
619.61	0.04994
620.61	0.05004
621.72	0.05013
622.56	0.05021
623.64	0.05031
624.65	0.0504
625.56	0.05047
626.59	0.05059
627.68	0.05066
628.73	0.05076
629.8	0.05086
630.75	0.05094
631.81	0.05103
632.7	0.0511
633.75	0.05122
634.84	0.05129
635.74	0.05135
636.73	0.05146
637.78	0.05156
638.63	0.05163
639.71	0.05171
640.76	0.05182
641.74	0.05191
642.67	0.05199
643.71	0.05209
644.69	0.05217
645.71	0.05228
646.7	0.05236
647.63	0.05244
648.71	0.05254
649.66	0.05263
650.72	0.05272
651.66	0.05281
652.69	0.0529
653.68	0.05298
654.57	0.05305
655.73	0.05315
656.66	0.05324
657.67	0.05333
658.75	0.05343
659.62	0.0535
660.68	0.05361
661.61	0.05369
662.63	0.05378
663.77	0.05387
664.57	0.05396
665.7	0.05405
666.57	0.05414
667.69	0.05423
668.71	0.05432
